ParticipantID,SPEAKER_ID,Manipulation_Type,Long_Term_Attractive_F0,Long_Term_Attractive_VTL,Short_Term_Attractive_F0,Short_Term_Attractive_VTL
76,1,0,5,6,5,6
76,2,0,8,6,9,6
76,3,0,6,5,8,6
76,4,0,5,2,1,1
76,1,1,3,1,2,1
76,2,1,8,4,3,3
76,3,1,5,3,6,4
76,4,1,1,2,3,2
21,1,0,5,5,5,5
21,2,0,5,5,5,5
21,3,0,4,3,5,5
21,4,0,5,4,5,5
21,1,1,5,3,5,5
21,2,1,5,5,5,5
21,3,1,6,5,5,5
21,4,1,3,3,5,5
71,1,0,1,3,5,6
71,2,0,7,2,3,2
71,3,0,3,6,8,7
71,4,0,7,5,8,7
71,1,1,4,2,5,2
71,2,1,1,2,2,2
71,3,1,8,6,7,6
71,4,1,6,6,6,6
87,1,0,3,4,5,5
87,2,0,7,3,6,3
87,3,0,4,5,6,4
87,4,0,3,2,2,2
87,1,1,5,5,6,3
87,2,1,6,5,4,5
87,3,1,5,5,5,5
87,4,1,3,3,5,4
5,1,0,6,6,6,7
5,2,0,6,6,5,6
5,3,0,5,6,7,5
5,4,0,6,5,6,5
5,1,1,6,7,7,7
5,2,1,5,6,4,4
5,3,1,5,4,5,7
5,4,1,4,4,5,6
30,1,0,4,3,5,5
30,2,0,7,5,7,3
30,3,0,8,3,8,6
30,4,0,7,3,5,5
30,1,1,6,4,5,2
30,2,1,7,4,7,8
30,3,1,6,5,8,2
30,4,1,3,4,3,6
37,1,0,2,2,6,3
37,2,0,8,4,9,4
37,3,0,7,5,7,7
37,4,0,6,4,7,5
37,1,1,3,1,2,1
37,2,1,2,3,6,1
37,3,1,6,2,9,1
37,4,1,3,3,6,6
2,1,0,6,4,6,3
2,2,0,3,4,7,2
2,3,0,7,5,9,6
2,4,0,7,6,8,7
2,1,1,4,1,5,1
2,2,1,3,4,2,5
2,3,1,3,5,7,6
2,4,1,6,1,4,4
20,1,0,3,1,5,3
20,2,0,8,2,7,2
20,3,0,8,4,8,5
20,4,0,4,2,5,2
20,1,1,2,1,3,3
20,2,1,5,6,5,6
20,3,1,8,6,8,7
20,4,1,4,6,4,4
59,1,0,4,4,5,6
59,2,0,7,6,7,6
59,3,0,5,5,3,5
59,4,0,5,1,6,3
59,1,1,6,5,6,6
59,2,1,6,7,6,7
59,3,1,8,2,8,2
59,4,1,6,2,5,6
7,1,0,5,2,5,1
7,2,0,4,1,4,1
7,3,0,7,6,6,3
7,4,0,6,5,6,2
7,1,1,4,4,5,2
7,2,1,2,3,3,3
7,3,1,5,3,4,4
7,4,1,5,3,5,3
43,1,0,8,7,9,8
43,2,0,7,3,7,6
43,3,0,4,8,7,7
43,4,0,8,4,6,4
43,1,1,4,2,8,3
43,2,1,3,7,7,6
43,3,1,5,4,8,7
43,4,1,5,3,4,2
18,1,0,5,3,6,2
18,2,0,3,1,2,1
18,3,0,9,6,9,7
18,4,0,9,4,4,1
18,1,1,3,5,3,5
18,2,1,2,1,1,3
18,3,1,6,6,5,7
18,4,1,6,5,7,7
39,1,0,6,5,6,6
39,2,0,6,6,5,5
39,3,0,4,5,5,4
39,4,0,3,6,3,5
39,1,1,6,6,6,3
39,2,1,5,6,4,2
39,3,1,4,6,6,6
39,4,1,6,6,6,7
32,1,0,3,7,2,5
32,2,0,3,2,2,3
32,3,0,8,9,8,9
32,4,0,9,8,6,7
32,1,1,3,4,2,1
32,2,1,2,1,1,1
32,3,1,7,6,8,4
32,4,1,6,4,5,3
56,1,0,5,5,4,6
56,2,0,6,5,4,6
56,3,0,7,6,6,6
56,4,0,4,7,4,6
56,1,1,5,5,5,6
56,2,1,6,7,6,6
56,3,1,6,6,6,5
56,4,1,6,7,7,6
29,1,0,5,2,7,2
29,2,0,7,1,8,2
29,3,0,8,5,8,6
29,4,0,7,1,5,2
29,1,1,3,6,3,3
29,2,1,3,3,2,2
29,3,1,6,3,6,4
29,4,1,2,3,6,3
40,1,0,3,2,3,3
40,2,0,7,3,6,8
